Nations,Nation Check,Overlord,Eco Vassals,Eco Over.,Compare,MP Vassals,MP Over.,Compare,20% Total,Vassal Type,,L. Desire,Base,Comparison,Individual,Friend/Rival,Taxes,,Indep War?,Autonomy,Threshold,Chaotic?,Deceptive?,Honor?,Indep.?,Unity?,Ov. Culture,Ov. Religion,Non-aggression Pacts,Defensive Pacts,,Military Alliances,,Limit,Trade 1,Value,Trade 2,Value,Trade 3,Value,Trade 4,Value,Trade 5,Value,Trade 6,Value,Trade 7,Value,Trade 8,Value,Trade 9,Value,Trade 10,Value,Trade 11,Value,Trade 12,Value,Trade 13,Value,Trade 14,Value,Trade 15,Value,Raw Trade Income,Tariffs,Trade Income,NAPs,Def. Pacts,Mil. Pacts,Trades
ADMIN NATION,ADMIN NATION,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.25,0.00,0,0,0,0
Aethyllion Pradesh,Aethyllion Pradesh,Aethyrrajyam,,,,,,,,Standard,1.00,5.07%,5.07%,18.20%,11.87%,0.00%,-5.00%,,,Both,125.00%,FALSE,FALSE,TRUE,FALSE,TRUE,Aethyr,Vhurrar,,,,,,7,Yuranisuk,"4,785.63",Alramia,"8,003.13",Kawranti,"13,920.00",Clan Karatillion,"5,590.00",Clan Làidirsgith,"1,100.00",Lowy Combine,"15,179.06",Mātrentwo,"8,639.06",,,,,,,,,,,,,,,,,"57,216.88",1.05,"60,077.72",0,0,0,7
Aethyrrajyam,Aethyrrajyam,,"532,977.61","1,286,969.94",41.41%,"180,210.25","363,513.56",49.57%,18.20%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Domiznajes, Clan Tuskar, Clan Laidirsgith, Onoakoku, Gnodhai Confederacy, Lowy Combine, Angiris Sancaelum, Uqhuma Killa",Onaokoku,Council of the Alonissos Isles,Lowy Combine,Nixond,8,Carya,"9,763.00",Federation of the Winds,"29,260.00",Onaokoku,"31,492.50",Caravan Republic of the Wonder-Oasis,"54,285.00",Council of the Alonissos Isles,"13,354.69",Here Be Dragons,"33,194.00",Extremely Radical Corta,"6,635.94",Uqhuma Killa,"21,740.63",,,,,,,,,,,,,,,"199,725.75",1.25,"249,657.19",8,2,2,8
Agair,Agair,Gno’hdail Impireachd,,,,,,,,Standard,1.00,14.93%,14.93%,2.47%,2.47%,0.00%,-5.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,FALSE,Taura,Eclais,,,,,,6,Annakpolis,"4,093.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,093.75",1.00,"4,093.75",0,0,0,1
Alramia,Alramia,Aethyrrajyam,,,,,,,,Standard,1.00,0.00%,-0.48%,18.20%,6.32%,-25.00%,-5.00%,,,None,90.00%,FALSE,FALSE,FALSE,TRUE,FALSE,Aethyr,Vhurrar,,,,,,6,Lowy Combine,"15,179.06",Aethyllion Pradesh,"9,075.63",Wandon Council,"22,797.50",Clan Karatillion,"5,590.00",Clan Làidirsgith,"1,100.00",Mātrentwo,"8,639.06",,,,,,,,,,,,,,,,,,,"62,381.25",1.00,"62,381.25",0,0,0,6
Amaldim,Amaldim,Kycerian Dominion,,,,,,,,Standard,1.00,0.00%,-3.56%,5.72%,5.72%,0.00%,-5.00%,,,None,130.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Kycerian,Aishorite,,,,,,7,Kycerian Dominion,"23,862.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,862.50",1.00,"23,862.50",0,0,0,1
Annakpolis,Annakpolis,,,,,,,,,,,,,0.00%,,0.00%,,,,,,,,,,,,,,Republyk Balresk,,Nixond,,9,Agair,"1,015.63",Gno’hdail Impireachd,"4,728.13",,,,,,,,,,,,,,,,,,,,,,,,,,,"5,743.75",0.95,"5,456.56",0,1,1,2
ARG o Jillu Uylor,ARG o Jillu Uylor,Fellowship of the Crown,,,,,,,,Standard,1.00,41.25%,41.25%,42.60%,1.15%,0.00%,0.00%,,,None,100.00%,FALSE,FALSE,FALSE,FALSE,TRUE,Pure Wrestler,Chàisg Durzit Faith,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,0.00,0,0,0,0
Atlas'ii,Atlas'ii,,"1,136,168.07","362,217.81",313.67%,"314,809.69","144,017.50",218.59%,106.45%,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Council of Otvori, Spinelle, Mas",Kingdom of Geloía,,,Psarades,8,Brotherhood of Pikpik,"11,304.69",Trinitas,"8,200.00",Terra Magicae,"3,953.13",,,,,,,,,,,,,,,,,,,,,,,,,"23,457.81",1.00,"23,457.81",3,1,1,3
Azharid Caliphate,Azharid Caliphate,,,,,,,,,,,,,0.00%,,0.00%,,,,None,,,,,,,,,"Nanakeyaltepetl, Magia Gilda",,Ko'ch Q'ash,Netsanet Republic,Terra Magicae,9,Netsanet Republic,"32,180.00",Ko'ch Q'ash,"8,425.00",,,,,,,,,,,,,,,,,,,,,,,,,,,"40,605.00",0.95,"38,574.75",2,1,2,2
